0 = -753917864
1 = 1937445816
2 = -1566860320
3 = 1260090376
4 = -1020693400
5 = 276825176
6 = 1036449432
7 = 1074073232
8 = 432
9 = 480
10 = 528
11 = 576
12 = 624
13 = 672
14 = 720
15 = 768
16 = 816
17 = 864
18 = 912
19 = 960
20 = 1008
21 = 1056
22 = 1104
23 = 1152
24 = 1200
25 = 1248
26 = 1296
27 = 1344
28 = 1392
29 = 1440
30 = 1488
31 = 1536
32 = 1584
33 = 1632
34 = 1680
35 = 1728
36 = 1776
37 = 1824
38 = 1872
39 = 1920
40 = 1968
41 = 2016
42 = 2064
43 = 2112
44 = 2160
45 = 2208
46 = 2256
47 = 2304
48 = 2352
49 = 2400
50 = 2448
51 = 2496
52 = 2544
53 = 2592
54 = 2640
55 = 2688
56 = 365362448
57 = 1074074928
58 = 70605560
59 = 2328
60 = 2376
61 = 2416
62 = 2456
63 = 365394208
